District,Year,Season,Crop,Area,Production,Weather
PUNE,2000,Zaid,Groundnut,242,654,Rainy
DHULE,2003,Kharif,Rice,353,272,Overcast 
DHULE,2010,Kharif,Rice,228,181,Overcast 
HINGOLI,1999,Rabi,Groundnut,282,351,Rainy
THANE,2006,Kharif,Urad,173,783,Sunny
SOLAPUR,2004,Kharif,Urad,473,349,Sunny
NANDED,2014,Zaid,Groundnut,400,888,Sunny
GONDIA,2005,Kharif,Arhar/Tur,12224,11306,Rainy
THANE,2001,Rabi,Urad,364,516,Rainy
GADCHIROLI,2009,Kharif,Arhar/Tur,251,494,Overcast 
AHMEDNAGAR,2004,Zaid,Urad,457,321,Rainy
BEED,2009,Rabi,Sunflower,145,501,Rainy
KOLHAPUR,2003,Zaid,Small millets,238,130,Rainy
BHANDARA,2005,Kharif,Gram,49,854,Sunny
LATUR,2008,Kharif,Bajra,306,557,Rainy
RATNAGIRI,1999,Zaid,Other  Rabi pulses,336,790,Sunny
YAVATMAL,2003,Zaid,Bajra,271,189,Rainy
PARBHANI,2002,Kharif,Sesamum,216,203,Overcast 
CHANDRAPUR,2011,Rabi,Jowar,168,334,Sunny
PUNE,2010,Rabi,Safflower,8,634,Rainy
OSMANABAD,2008,Zaid,Rice,66,216,Rainy
KOLHAPUR,2003,Zaid,Other Kharif pulses,67,944,Sunny
AURANGABAD,2005,Kharif,Sesamum,386,642,Rainy
BEED,2014,Rabi,Moong(Green Gram),129,804,Overcast 
OSMANABAD,2006,Zaid,Sesamum,272,1000,Rainy
AKOLA,2005,Zaid,Sesamum,222,800,Rainy
NANDED,2012,Kharif,Other Kharif pulses,509,600,Rainy
OSMANABAD,2003,Kharif,Mango,448,940,Overcast 
KOLHAPUR,2003,Kharif,Mango,49,665,Sunny
SATARA,2000,Zaid,Maize,489,125,Sunny
SOLAPUR,1998,Kharif,Cotton(lint),389,467,Sunny
LATUR,1998,Zaid,Soyabean,258,676,Rainy
PUNE,2003,Rabi,Maize,504,750,Sunny
DHULE,2001,Zaid,Rice,370,146,Rainy
DHULE,1999,Zaid,Rice,16,327,Overcast 
THANE,1998,Rabi,Urad,468,893,Sunny
JALGAON,2004,Kharif,Groundnut,380,386,Overcast 
THANE,1999,Zaid,Urad,216,858,Overcast 
WARDHA,1999,Zaid,Groundnut,346,514,Overcast 
BEED,2010,Rabi,Groundnut,2,755,Overcast 
